"State","Year.Month","Report.Number"
"CO","2015-02",26
"CO","2015-03",46
"CO","2015-04",24
"CO","2015-05",21
"CO","2015-06",34
"CO","2015-07",46
"CO","2015-08",30
"CO","2015-09",37
"CO","2015-10",21
"CO","2015-11",25
"CO","2015-12",36
"CO","2016-01",39
"CO","2016-02",9
"CO","2016-03",0
"CO","2016-04",0
"CT","2005-01",0
"CT","2005-02",16
"CT","2005-03",20
"CT","2005-04",14
"CT","2005-05",18
"CT","2005-06",17
"CT","2005-07",24
"CT","2005-08",27
"CT","2005-09",18
"CT","2005-10",16
"CT","2005-11",15
"CT","2005-12",10
"CT","2006-01",20
"CT","2006-02",23
"CT","2006-03",17
"CT","2006-04",25
"CT","2006-05",30
"CT","2006-06",21
"CT","2006-07",32
"CT","2006-08",26
"CT","2006-09",17
"CT","2006-10",16
"CT","2006-11",16
"CT","2006-12",16
"CT","2007-01",12
"CT","2007-02",12
"CT","2007-03",25
"CT","2007-04",20
"CT","2007-05",21
"CT","2007-06",22
"CT","2007-07",18
"CT","2007-08",23
"CT","2007-09",23
"CT","2007-10",22
"CT","2007-11",10
"CT","2007-12",17
"CT","2008-01",21
"CT","2008-02",21
"CT","2008-03",8
"CT","2008-04",18
"CT","2008-05",25
"CT","2008-06",19
"CT","2008-07",15
"CT","2008-08",19
"CT","2008-09",18
"CT","2008-10",23
"CT","2008-11",16
"CT","2008-12",14
"CT","2009-01",15
"CT","2009-02",16
"CT","2009-03",31
"CT","2009-04",16
"CT","2009-05",15
"CT","2009-06",31
"CT","2009-07",22
"CT","2009-08",23
"CT","2009-09",15
"CT","2009-10",17
"CT","2009-11",17
"CT","2009-12",9
"CT","2010-01",10
"CT","2010-02",9
"CT","2010-03",11
"CT","2010-04",5
"CT","2010-05",13
"CT","2010-06",18
"CT","2010-07",22
"CT","2010-08",15
"CT","2010-09",18
"CT","2010-10",15
"CT","2010-11",14
"CT","2010-12",16
"CT","2011-01",9
"CT","2011-02",6
"CT","2011-03",16
"CT","2011-04",14
"CT","2011-05",7
"CT","2011-06",27
"CT","2011-07",17
"CT","2011-08",19
"CT","2011-09",14
"CT","2011-10",14
"CT","2011-11",9
"CT","2011-12",8
"CT","2012-01",17
"CT","2012-02",18
"CT","2012-03",10
"CT","2012-04",21
"CT","2012-05",20
"CT","2012-06",18
"CT","2012-07",11
"CT","2012-08",26
"CT","2012-09",18
"CT","2012-10",23
"CT","2012-11",14
"CT","2012-12",11
"CT","2013-01",13
"CT","2013-02",5
